Group/Title	Username	Password	URL	AutoType	Created Time	Password Modified Time	Last Access Time	Password Expiry Date	Password Expiry Interval	Record Modified Time	Password Policy	Password Policy Name	History	Run Command	DCA	Shift+DCA	e-mail	Protected	Symbols	Keyboard Shortcut	Notes
Group/Title1	smilingbird27	4*Qp}!Kg5mDU	http://www.example.com	Autotype1	Created Time1	Password Modified Time1	Last Access Time1	Password Expiry Date1	Password Expiry Interval1	Record Modified Time1	Password Policy1	Password Policy Name1	History1	Run Command1	DCA1	Shift+DCA1	email1	False	Symbols1	Keyboard Shortcut1	ipsum dolor adipiscing sit ipsum amet amet
Group/Title2	happydog52	`2JQ&Kq~qq47	http://www.example.org	Autotype2	Created Time2	Password Modified Time2	Last Access Time2	Password Expiry Date2	Password Expiry Interval2	Record Modified Time2	Password Policy2	Password Policy Name2	History2	Run Command2	DCA2	Shift+DCA2	email2	False	Symbols2	Keyboard Shortcut2	consectetur elit sit elit adipiscing dolor dolor Lorem dolor
Group/Title3	smilingbird37	~ZL{ju)W:eWM	http://www.example.gov	Autotype3	Created Time3	Password Modified Time3	Last Access Time3	Password Expiry Date3	Password Expiry Interval3	Record Modified Time3	Password Policy3	Password Policy Name3	History3	Run Command3	DCA3	Shift+DCA3	email3	False	Symbols3	Keyboard Shortcut3	amet ipsum elit amet adipiscing sit Lorem sit ipsum dolor
Group/Title4	sunnycat74	s.$Zz5S}&aJ$	http://www.example.net	Autotype4	Created Time4	Password Modified Time4	Last Access Time4	Password Expiry Date4	Password Expiry Interval4	Record Modified Time4	Password Policy4	Password Policy Name4	History4	Run Command4	DCA4	Shift+DCA4	email4	True	Symbols4	Keyboard Shortcut4	dolor elit Lorem Lorem adipiscing ipsum
Group/Title5	luckyelephant76	}19>XRW9?3U=	http://www.example.net	Autotype5	Created Time5	Password Modified Time5	Last Access Time5	Password Expiry Date5	Password Expiry Interval5	Record Modified Time5	Password Policy5	Password Policy Name5	History5	Run Command5	DCA5	Shift+DCA5	email5	False	Symbols5	Keyboard Shortcut5	elit ipsum ipsum
Group/Title6	luckycat50	"Zj_$^l""/<=67"	http://www.example.gov	Autotype6	Created Time6	Password Modified Time6	Last Access Time6	Password Expiry Date6	Password Expiry Interval6	Record Modified Time6	Password Policy6	Password Policy Name6	History6	Run Command6	DCA6	Shift+DCA6	email6	False	Symbols6	Keyboard Shortcut6	adipiscing elit ipsum adipiscing consectetur dolor ipsum elit
Group/Title7	happyelephant91	T'S:05`n3gLf	http://www.example.net	Autotype7	Created Time7	Password Modified Time7	Last Access Time7	Password Expiry Date7	Password Expiry Interval7	Record Modified Time7	Password Policy7	Password Policy Name7	History7	Run Command7	DCA7	Shift+DCA7	email7	True	Symbols7	Keyboard Shortcut7	ipsum adipiscing consectetur adipiscing Lorem ipsum amet dolor adipiscing
Group/Title8	smilingcat92	lpnIT_NG*<{G	http://www.example.gov	Autotype8	Created Time8	Password Modified Time8	Last Access Time8	Password Expiry Date8	Password Expiry Interval8	Record Modified Time8	Password Policy8	Password Policy Name8	History8	Run Command8	DCA8	Shift+DCA8	email8	False	Symbols8	Keyboard Shortcut8	adipiscing ipsum sit dolor ipsum
Group/Title9	funnygiraffe92	F1hq;aILPt%5	http://www.example.net	Autotype9	Created Time9	Password Modified Time9	Last Access Time9	Password Expiry Date9	Password Expiry Interval9	Record Modified Time9	Password Policy9	Password Policy Name9	History9	Run Command9	DCA9	Shift+DCA9	email9	False	Symbols9	Keyboard Shortcut9	elit consectetur amet consectetur
Group/Title10	luckybird55	"EK""W>CJI5PF2"	http://www.example.org	Autotype10	Created Time10	Password Modified Time10	Last Access Time10	Password Expiry Date10	Password Expiry Interval10	Record Modified Time10	Password Policy10	Password Policy Name10	History10	Run Command10	DCA10	Shift+DCA10	email10	False	Symbols10	Keyboard Shortcut10	dolor elit dolor elit adipiscing sit Lorem consectetur adipiscing consectetur
